model,dataset,kind,num_images,num_gt_boxes,map50,map50_95,ap_D00,ap_D10,ap_D20,ap_D40,precision,recall,f1,map50_delta_vs_indomain,map50_pct_change_vs_indomain,f1_delta_vs_indomain,f1_pct_change_vs_indomain,eval_runtime_sec
faster_rcnn_resnet50_fpn,source,in-domain,2732,,0.5068,0.2133,0.4562,0.4168,0.6693,0.4849,0.2766,0.717,0.3992,0.0,0.0,0.0,0.0,2788.7
faster_rcnn_resnet50_fpn,china_motorbike,zero-shot,1500,,0.2698,0.1015,0.2138,0.3491,0.4814,0.0348,0.243,0.4463,0.3147,-0.237,-46.76,-0.0845,-21.17,99.8
faster_rcnn_resnet50_fpn,czech,zero-shot,2829,,0.1419,0.0447,0.2035,0.1904,0.1351,0.0386,0.1201,0.2785,0.1678,-0.3649,-72.0,-0.2314,-57.97,2948.2
faster_rcnn_resnet50_fpn,norway,zero-shot,1500,,0.0329,0.0116,0.0604,0.0257,0.045,0.0005,0.1982,0.0814,0.1154,-0.4739,-93.51,-0.2838,-71.09,388.5
faster_rcnn_resnet50_fpn,us,zero-shot,1500,,0.3549,0.1565,0.4987,0.3472,0.4679,0.1059,0.3311,0.5837,0.4225,-0.1519,-29.97,0.0233,5.84,101.1
yolo26n,source,in-domain,2732,,0.4859,0.2126,0.4128,0.4167,0.6492,0.4651,0.5945,0.4707,0.5254,0.0,0.0,0.0,0.0,487.7
yolo26n,china_motorbike,zero-shot,1977,,0.1952,0.0707,0.1206,0.2676,0.367,0.0255,0.4201,0.1441,0.2146,-0.2907,-59.83,-0.3108,-59.15,225.0
yolo26n,czech,zero-shot,2829,,0.1438,0.0508,0.211,0.1862,0.1456,0.0325,0.378,0.1181,0.1799,-0.3421,-70.41,-0.3455,-65.76,513.4
yolo26n,norway,zero-shot,8161,,0.0554,0.0216,0.096,0.0397,0.08,0.006,0.4072,0.0789,0.1322,-0.4305,-88.6,-0.3932,-74.84,2249.2
yolo26n,us,zero-shot,4805,,0.4013,0.1946,0.547,0.435,0.4937,0.1294,0.6134,0.4351,0.5091,-0.0846,-17.41,-0.0163,-3.1,615.5
yolov8n,source,in-domain,2732,,0.494,0.2173,0.4222,0.4405,0.6416,0.4717,0.5959,0.471,0.5261,0.0,0.0,0.0,0.0,273.3
yolov8n,china_drone,zero-shot,2401,,0.2107,0.0817,0.1174,0.3294,0.0897,0.3062,0.4334,0.1454,0.2177,-0.2833,-57.35,-0.3084,-58.62,241.2
yolov8n,china_motorbike,zero-shot,1977,,0.2102,0.0796,0.1571,0.2531,0.3909,0.0397,0.4411,0.1497,0.2235,-0.2838,-57.45,-0.3026,-57.52,210.3
yolov8n,czech,zero-shot,2829,,0.1394,0.0471,0.2209,0.1774,0.1362,0.0231,0.3525,0.1438,0.2043,-0.3546,-71.78,-0.3218,-61.17,248.7
yolov8n,norway,zero-shot,8161,,0.0587,0.023,0.1032,0.04,0.0802,0.0115,0.4091,0.0862,0.1424,-0.4353,-88.12,-0.3837,-72.93,1406.6
yolov8n,us,zero-shot,4805,,0.3804,0.1987,0.5586,0.3971,0.5118,0.0541,0.4982,0.4954,0.4968,-0.1136,-23.0,-0.0293,-5.57,547.6
yolov8n_ca,source,in-domain,2732,,0.4801,0.2092,0.4073,0.4121,0.6468,0.4543,0.6165,0.4626,0.5286,0.0,0.0,0.0,0.0,254.7
yolov8n_ca,china_motorbike,zero-shot,1977,,0.2053,0.076,0.1303,0.234,0.4437,0.0131,0.39,0.1791,0.2455,-0.2748,-57.24,-0.2831,-53.56,174.9
yolov8n_ca,czech,zero-shot,2829,,0.1205,0.0413,0.2079,0.141,0.1083,0.025,0.3251,0.1209,0.1763,-0.3596,-74.9,-0.3523,-66.65,248.1
yolov8n_ca,norway,zero-shot,8161,,0.0539,0.0209,0.0901,0.0333,0.0732,0.019,0.4059,0.0777,0.1305,-0.4262,-88.77,-0.3981,-75.31,1233.3
yolov8n_ca,us,zero-shot,4805,,0.3783,0.1841,0.5515,0.4134,0.5181,0.0303,0.4674,0.4745,0.4709,-0.1018,-21.2,-0.0577,-10.92,454.3
